Date,Segment,Value,Share
2017-04-01,All Other Segments,387.0,1.48
2017-04-01,CAP,6933.0,26.5
2017-04-01,EMEA,2783.0,10.64
2017-04-01,The Americas,16058.0,61.38
2017-07-01,All Other Segments,381.0,1.43
2017-07-01,CAP,7183.0,26.87
2017-07-01,EMEA,2870.0,10.73
2017-07-01,The Americas,16302.0,60.97
2017-10-01,All Other Segments,327.0,1.2
2017-10-01,CAP,7479.0,27.36
2017-10-01,EMEA,2974.0,10.88
2017-10-01,The Americas,16559.0,60.57
2018-01-01,All Other Segments,326.0,1.16
2018-01-01,CAP,7779.0,27.74
2018-01-01,EMEA,3097.0,11.05
2018-01-01,The Americas,16837.0,60.05
2018-04-01,All Other Segments,29.0,0.1
2018-04-01,CAP,7995.0,28.34
2018-04-01,EMEA,3161.0,11.21
2018-04-01,The Americas,17024.0,60.35
2018-07-01,All Other Segments,27.0,0.09
2018-07-01,CAP,8252.0,28.73
2018-07-01,EMEA,3237.0,11.27
2018-07-01,The Americas,17204.0,59.9
2018-10-01,All Other Segments,20.0,0.07
2018-10-01,CAP,8530.0,29.09
2018-10-01,EMEA,3320.0,11.32
2018-10-01,The Americas,17454.0,59.52
2019-01-01,All Other Segments,11.0,0.04
2019-01-01,CAP,8789.0,29.43
2019-01-01,EMEA,3421.0,11.45
2019-01-01,The Americas,17644.0,59.08
2019-04-01,All Other Segments,13.0,0.04
2019-04-01,CAP,8993.0,29.79
2019-04-01,EMEA,3468.0,11.49
2019-04-01,The Americas,17710.0,58.67
2019-07-01,All Other Segments,12.0,0.04
2019-07-01,CAP,9246.0,30.19
2019-07-01,EMEA,3523.0,11.5
2019-07-01,The Americas,17845.0,58.27
